TIME,CH2
4.00E-02,4.88
4.02E-02,0.48
4.04E-02,0.68
4.06E-02,0.48
4.08E-02,0.44
4.10E-02,0.52
4.12E-02,0.52
4.14E-02,0.72
4.16E-02,0.72
4.18E-02,4.76
4.20E-02,5
4.22E-02,4.96
4.24E-02,0.4
4.26E-02,0.72
4.28E-02,0.24
4.30E-02,5.04
4.32E-02,4.76
4.34E-02,5
4.36E-02,0.72
4.38E-02,0.44
4.40E-02,4.96
4.42E-02,5
4.44E-02,5.04
4.46E-02,5.12
4.48E-02,0.48
4.50E-02,0.8
4.52E-02,0.72
4.54E-02,0.4
4.56E-02,0.48
4.58E-02,0.4
4.60E-02,0.56
4.62E-02,0.48
4.64E-02,5.16
4.66E-02,5.16
4.68E-02,5.12
4.70E-02,0.48
4.72E-02,0.36
4.74E-02,4.8
4.76E-02,4.96
4.78E-02,4.92
4.80E-02,0.52
4.82E-02,0.4
4.84E-02,0.52
4.86E-02,5.04
4.88E-02,4.8
4.90E-02,5
4.92E-02,0.56
4.94E-02,0.44
4.96E-02,0.32
4.98E-02,5.04
5.00E-02,5
5.02E-02,5.04
5.04E-02,0.56
5.06E-02,0.4
5.08E-02,0.72
5.10E-02,0.32
5.12E-02,0.76
5.14E-02,0.6
5.16E-02,0.68
5.18E-02,0.48
5.20E-02,5.08
5.22E-02,4.96
5.24E-02,5
5.26E-02,0.8
5.28E-02,0.72
5.30E-02,0.72
5.32E-02,5
5.34E-02,4.92
5.36E-02,4.8
5.38E-02,0.72
5.40E-02,0.52
5.42E-02,0.56
5.44E-02,0.32
5.46E-02,0.52
5.48E-02,0.48
5.50E-02,0.4
5.52E-02,0.48
5.54E-02,5.04
5.56E-02,5.08
5.58E-02,5
5.60E-02,0.52
5.62E-02,0.44
5.64E-02,0.32
5.66E-02,0.52
5.68E-02,0.76
5.70E-02,0.52
5.72E-02,0.56
5.74E-02,0.48
5.76E-02,4.8
5.78E-02,5.12
5.80E-02,5
5.82E-02,0.48
5.84E-02,0.68
5.86E-02,0.48
5.88E-02,4.96
5.90E-02,5
5.92E-02,5.08
5.94E-02,0.68
5.96E-02,0.48
5.98E-02,0.32
6.00E-02,0.76
6.02E-02,0.52
6.04E-02,0.68
6.06E-02,0.48
6.08E-02,0.76
6.10E-02,5.04
6.12E-02,5.04
6.14E-02,4.92
6.16E-02,0.44
6.18E-02,0.48
6.20E-02,0.68
6.22E-02,0.44
6.24E-02,0.44
6.26E-02,0.68
6.28E-02,0.44
6.30E-02,0.48
6.32E-02,4.96
6.34E-02,4.8
6.36E-02,4.96
6.38E-02,5.04
6.40E-02,0.8
6.42E-02,0.64
6.44E-02,0.4
6.46E-02,0.64
6.48E-02,0.28
6.50E-02,0.4
6.52E-02,0.56
6.54E-02,0.24
6.56E-02,5.12
6.58E-02,5.08
6.60E-02,5.04
6.62E-02,0.6
6.64E-02,0.44
6.66E-02,0.64
6.68E-02,0.4
6.70E-02,0.8
6.72E-02,0.48
6.74E-02,0.52
6.76E-02,0.6
6.78E-02,0.56
6.80E-02,0.56
6.82E-02,0.68
6.84E-02,0.44
6.86E-02,0.44
6.88E-02,0.48
6.90E-02,0.48
6.92E-02,0.84
